Date,Open,High,Low,Close,Adj Close,Volume
9/1/15,110.150002,116.889999,107.360001,110.300003,103.730179,1206547300
10/1/15,109.07,121.220001,107.309998,119.5,112.382195,1112323100
11/1/15,120.800003,123.82,111,118.300003,111.253654,750640600
12/1/15,118.75,119.860001,104.82,105.260002,99.414101,921529700
1/1/16,102.610001,105.849998,92.389999,97.339996,91.93396,1271024100
2/1/16,96.470001,98.889999,92.589996,96.690002,91.320068,810862600
3/1/16,97.650002,110.419998,97.419998,108.989998,103.495514,746049600
4/1/16,108.779999,112.389999,92.510002,93.739998,89.014297,872396200
5/1/16,93.970001,100.730003,89.470001,99.860001,94.825783,900318100
6/1/16,99.019997,101.889999,91.5,95.599998,91.333252,779055700
7/1/16,95.489998,104.550003,94.370003,104.209999,99.558975,685779600
8/1/16,104.410004,110.230003,104,106.099998,101.364616,630128500
9/1/16,106.139999,116.18,102.529999,113.050003,108.589523,968015600
10/1/16,112.709999,118.690002,112.279999,113.540001,109.060188,686914300
11/1/16,113.459999,113.769997,104.080002,110.519997,106.159332,721305500
12/1/16,110.370003,118.019997,108.25,115.82,111.821404,608771700
1/1/17,115.800003,122.440002,114.760002,121.349998,117.160492,563122000
2/1/17,127.029999,137.479996,127.010002,136.990005,132.260529,574968600
3/1/17,137.889999,144.5,137.050003,143.660004,139.301605,561628400
4/1/17,143.710007,145.460007,140.059998,143.649994,139.291885,373304100
5/1/17,145.100006,156.649994,144.270004,152.759995,148.125519,653981800
6/1/17,153.169998,155.979996,142.199997,144.020004,140.227097,684178100
7/1/17,144.880005,153.990005,142.410004,148.729996,144.813034,422011900
8/1/17,149.100006,164.520004,148.410004,164,159.680908,661069000
9/1/17,164.800003,164.940002,149.160004,154.119995,150.650375,680374100
10/1/17,154.259995,169.649994,152.460007,169.039993,165.234512,504291300
11/1/17,169.869995,176.240005,165.279999,171.850006,167.981247,600663400
12/1/17,169.949997,177.199997,166.460007,169.229996,166.014908,530833500
1/1/18,170.160004,180.100006,164.699997,167.429993,164.249084,659487300
2/1/18,167.169998,180.619995,150.240005,178.119995,174.735992,927894300
3/1/18,178.539993,183.5,164.940002,167.779999,165.263504,713010900
4/1/18,166.639999,178.940002,160.630005,165.259995,162.781296,666057900
5/1/18,166.410004,190.369995,165.270004,186.869995,184.067184,620976300
6/1/18,187.990005,194.199997,180.729996,185.110001,183.036682,527624500
7/1/18,183.820007,195.960007,183.419998,190.289993,188.158646,393691400
8/1/18,199.130005,228.869995,197.309998,227.630005,225.080429,700273700
9/1/18,228.410004,229.669998,215.300003,225.740005,223.994431,678972000
10/1/18,227.949997,233.470001,206.089996,218.860001,217.167618,789748500
11/1/18,219.050003,222.360001,170.259995,178.580002,177.199097,961326400
12/1/18,184.460007,184.940002,146.589996,157.740005,157.066376,898922500
1/1/19,154.889999,169,142,166.440002,165.729218,828087400
2/1/19,166.960007,175.869995,165.929993,173.149994,172.410553,472540600
3/1/19,174.279999,175.149994,172.889999,174.970001,174.970001,25873500
